segment_id,line_idx,mean_ndvi,vegetation_fraction,predicted_risk_probability,predicted_priority,pixels_sampled
6,0,76.0,1.0,1.0,High,1
30,0,49.0,1.0,1.0,High,1
42,0,66.0,1.0,1.0,High,1
54,0,58.0,1.0,1.0,High,1
58,0,56.0,1.0,1.0,High,1
100,0,83.0,1.0,1.0,High,1
143,0,27.0,1.0,1.0,High,1
144,0,27.0,1.0,1.0,High,1
182,0,83.0,1.0,1.0,High,1
184,0,76.0,1.0,1.0,High,1
188,0,85.0,1.0,1.0,High,1
243,0,82.0,1.0,1.0,High,1
244,0,82.0,1.0,1.0,High,1
265,0,250.0,1.0,1.0,High,1
274,0,48.0,1.0,1.0,High,1
292,1,48.0,1.0,1.0,High,1
294,1,40.0,1.0,1.0,High,1
301,1,60.0,1.0,1.0,High,1
305,1,66.0,1.0,1.0,High,1
306,1,66.0,1.0,1.0,High,1
358,1,91.0,1.0,1.0,High,1
363,1,80.0,1.0,1.0,High,1
378,1,79.0,1.0,1.0,High,1
379,1,79.0,1.0,1.0,High,1
387,1,79.0,1.0,1.0,High,1
388,1,79.0,1.0,1.0,High,1
411,1,64.0,1.0,1.0,High,1
450,2,100.0,1.0,1.0,High,1
472,2,104.0,1.0,1.0,High,1
473,2,104.0,1.0,1.0,High,1
491,2,125.0,1.0,1.0,High,1
497,2,124.0,1.0,1.0,High,1
511,2,119.0,1.0,1.0,High,1
551,2,102.0,1.0,1.0,High,1
557,2,135.0,1.0,1.0,High,1
558,2,135.0,1.0,1.0,High,1
602,2,118.0,1.0,1.0,High,1
603,2,118.0,1.0,1.0,High,1
642,2,121.0,1.0,1.0,High,1
647,2,98.0,1.0,1.0,High,1
675,3,95.0,1.0,1.0,High,1
678,4,115.0,1.0,1.0,High,1
684,4,106.0,1.0,1.0,High,1
730,4,108.0,1.0,1.0,High,1
773,4,104.0,1.0,1.0,High,1
789,4,118.0,1.0,1.0,High,1
790,4,118.0,1.0,1.0,High,1
852,4,133.0,1.0,1.0,High,1
864,4,112.0,1.0,1.0,High,1
887,4,120.0,1.0,1.0,High,1
899,4,115.0,1.0,1.0,High,1
939,4,139.0,1.0,1.0,High,1
954,5,88.0,1.0,1.0,High,1
978,5,56.0,1.0,1.0,High,1
1026,5,111.0,1.0,1.0,High,1
1029,5,83.0,1.0,1.0,High,1
1045,5,70.0,1.0,1.0,High,1
1052,5,87.0,1.0,1.0,High,1
1084,5,42.0,1.0,1.0,High,1
1085,5,42.0,1.0,1.0,High,1
1095,5,66.0,1.0,1.0,High,1
1144,6,87.0,1.0,1.0,High,1
1145,6,87.0,1.0,1.0,High,1
1198,6,57.0,1.0,1.0,High,1
1205,6,74.0,1.0,1.0,High,1
1206,6,74.0,1.0,1.0,High,1
1230,6,84.0,1.0,1.0,High,1
1233,6,79.0,1.0,1.0,High,1
1236,6,79.0,1.0,1.0,High,1
1249,6,58.0,1.0,1.0,High,1
1286,6,64.0,1.0,1.0,High,1
1316,6,68.0,1.0,1.0,High,1
1323,6,79.0,1.0,1.0,High,1
1324,6,79.0,1.0,1.0,High,1
