segment_id,ndvi,vegetation_level,risk_category
1,0.42671269251194904,Medium,Low
2,0.3896810992999741,Medium,Low
3,0.5225455708346659,Medium,Medium
4,0.6031036915118739,High,High
5,0.406494960806271,Medium,Low
6,0.41838649155722324,Medium,Low
7,0.35958549222797925,Medium,Low
8,0.4788211103495546,Medium,Medium
9,0.21467503665000187,Low,Low
10,0.4883142715067131,Medium,Low
11,0.15346121768140117,Low,Low
12,0.44305555555555554,Medium,Low
13,0.5530700753252682,Medium,Medium
14,0.506416584402764,Medium,Low
15,0.4026818366517676,Medium,Low
16,0.3246906305244549,Medium,Low
17,0.33601096075524106,Medium,Low
18,0.6126220554973244,High,Medium
19,0.40769605455431074,Medium,Low
20,0.5639967283586633,Medium,Medium
21,0.38007736943907156,Medium,Low
22,0.5645791405232627,Medium,Low
23,0.5254587155963303,Medium,High
24,0.0664208585725573,Low,Low
25,0.4180677338910789,Medium,Medium
26,0.39610247427195094,Medium,Low
27,0.3308550185873606,Medium,Low
28,0.5860436137071651,Medium,Low
29,0.5081405312767782,Medium,Medium
30,0.3944250871080139,Medium,Low
31,0.5670400354885217,Medium,Low
32,0.494949494949495,Medium,Medium
33,0.28942637685896394,Low,Low
34,0.4060500921609021,Medium,Low
35,0.42183742183742184,Medium,Low
36,0.35951915012580377,Medium,Low
37,0.35579330753471433,Medium,Low
38,0.4813599062133646,Medium,Medium
39,0.5575888051668461,Medium,High
40,0.5376984126984127,Medium,Medium
41,0.3372889091738932,Medium,Low
42,0.3369140625,Medium,Low
43,0.4958196634564504,Medium,Medium
44,0.4053238820601764,Medium,Medium
45,0.6851063829787234,High,Medium
46,0.401358577829166,Medium,Low
47,0.48793436293436293,Medium,Medium
48,0.5962626661402816,Medium,Medium
49,0.367189049791708,Medium,Low
50,0.5697873380591543,Medium,Medium
51,0.47646461225871994,Medium,Low
52,0.47053649956024624,Medium,Medium
53,0.4956521739130435,Medium,Medium
54,0.44219445641246585,Medium,Low
55,0.417564778720477,Medium,Medium
56,0.5113915177006659,Medium,Medium
57,0.5662590466683304,Medium,Low
58,0.40486409155937053,Medium,Low
59,0.3791727291623363,Medium,Low
60,0.4531744101191924,Medium,Medium
61,0.3639680504881176,Medium,Low
62,0.42240837696335076,Medium,Low
63,0.4548798712495689,Medium,Low
64,0.5765501691093574,Medium,Low
65,0.3132752705199261,Medium,Low
66,0.37479541734860883,Medium,Low
67,0.3232863917229487,Medium,Medium
68,0.48911997801090284,Medium,Medium
69,0.47544022242817424,Medium,Low
70,0.5890563930764936,Medium,Medium
71,0.3905768383971819,Medium,Low
72,0.40075809786354244,Medium,Low
73,0.36410797502857645,Medium,Low
74,0.4509505703422053,Medium,Low
75,0.4455121205503385,Medium,Medium
76,0.3121167883211679,Medium,Low
77,0.4894433781190019,Medium,Low
78,0.3595013477088949,Medium,Low
79,0.22214532871972317,Low,Low
80,0.3835361730899256,Medium,Low
81,0.4338689740420272,Medium,Low
82,0.47838086476540936,Medium,Medium
83,0.3313782991202346,Medium,Low
84,0.38288761022449,Medium,Low
85,0.4993412384716733,Medium,Medium
86,0.2670404249041015,Low,Low
87,0.46184538653366586,Medium,Low
88,0.41458289556629546,Medium,Low
89,0.42222297263072583,Medium,Medium
90,0.4091401342863331,Medium,Low
91,0.33368130639027654,Medium,Low
92,0.443328060199239,Medium,Low
93,0.5288715953307392,Medium,Low
94,0.332754255299488,Medium,Medium
95,0.44093259995074296,Medium,Low
96,0.4263712830233385,Medium,Low
97,0.47636479388826986,Medium,Low
98,0.3912379285737338,Medium,Low
99,0.44016337644656234,Medium,Low
100,0.46947175851817974,Medium,Low
101,0.48795115036528186,Medium,Medium
102,0.49452132701421797,Medium,Low
103,0.4894009216589862,Medium,Medium
104,0.37921787709497207,Medium,Low
105,0.48956303924297245,Medium,Medium
106,0.3925113729149656,Medium,Low
107,0.19983619983619982,Low,Low
108,0.5256353660843791,Medium,Medium
109,0.6472339369883403,High,Medium
110,0.22193464898091228,Low,Medium
111,0.6575875486381322,High,Medium
112,0.4385782175639607,Medium,Low
113,0.4887181949111858,Medium,Medium
114,0.37986455981941303,Medium,Medium
115,0.4695707879564382,Medium,Low
116,0.6331578947368421,High,Medium
117,0.4238121855785355,Medium,Low
118,0.3965375103050289,Medium,Medium
119,0.41695455753388255,Medium,Low
120,0.4798249878463782,Medium,Low
121,0.5038790531131888,Medium,Medium
122,0.45945736584232233,Medium,Low
123,0.4483932751649287,Medium,Medium
124,0.6195985832349469,High,Medium
125,0.7212556732223903,High,Medium
126,0.39594578385510376,Medium,Low
127,0.18687406776049437,Low,Low
128,0.4523238053676631,Medium,Low
129,0.42334494773519166,Medium,Medium
130,0.3873978996499417,Medium,Low
131,0.46834804539722574,Medium,Low
132,0.4569111823496135,Medium,Medium
133,0.5033299469466079,Medium,Low
134,0.4999354921945555,Medium,Low
135,0.4297752808988764,Medium,Low
136,0.4551113239166866,Medium,Low
137,0.5367901234567901,Medium,High
138,0.4422125946348081,Medium,Medium
139,0.38140476561283293,Medium,Medium
140,0.5042907622412923,Medium,Low
141,0.6163778062114691,High,Medium
142,0.4225092250922509,Medium,Medium
143,0.47877013177159594,Medium,Medium
144,0.3354338978600499,Medium,Low
145,0.5880533079485959,Medium,High
146,0.4510288065843621,Medium,Low
147,0.5899596788840858,Medium,Medium
148,0.5214899713467048,Medium,Low
149,0.45295202952029523,Medium,Low
150,0.4402830116127047,Medium,Medium
151,0.45788594607492245,Medium,Medium
152,0.5103578154425612,Medium,Medium
153,0.31823036708078023,Medium,Low
154,0.46930070715007294,Medium,Medium
155,0.3376467220154595,Medium,Medium
156,0.558966309118921,Medium,Low
157,0.43830570902394106,Medium,Medium
158,0.4631630648330059,Medium,Low
159,0.4519748653500898,Medium,Medium
160,0.5219856368905128,Medium,Medium
161,0.3836562012914718,Medium,Low
162,0.30018959342742785,Medium,Low
163,0.3987715841928381,Medium,Low
164,0.4950681070925317,Medium,Medium
165,0.5161091223305765,Medium,Low
166,0.2581453634085213,Low,Low
167,0.5852156057494866,Medium,Medium
168,0.3302174354805934,Medium,Low
169,0.4409121395036888,Medium,Low
170,0.49118320096917484,Medium,Low
171,0.32592662551193,Medium,Medium
172,0.6686336813436223,High,High
173,0.5881833616298812,Medium,Medium
174,0.402800390752198,Medium,Low
175,0.510267229254571,Medium,Low
176,0.4690185436454093,Medium,Medium
177,0.3442176870748299,Medium,Medium
178,0.40201309725927725,Medium,Low
179,0.41326810341191855,Medium,Low
180,0.23621609872726837,Low,Medium
181,0.2606060606060606,Low,Low
182,0.29371437087819957,Low,Low
183,0.4625652930934417,Medium,Low
184,0.4274451835427445,Medium,Low
185,0.4176854599406528,Medium,Medium
186,0.4306292645943897,Medium,Low
187,0.520568351094305,Medium,Medium
188,0.525074070009876,Medium,Low
189,0.3414309022853059,Medium,Low
190,0.5662270036981728,Medium,Medium
191,0.474239074987247,Medium,Low
192,0.5078703703703704,Medium,Medium
193,0.22226135963367386,Low,Low
194,0.3883232910866404,Medium,Low
195,0.49940828402366866,Medium,Low
196,0.32042686555321936,Medium,Medium
197,0.30991351583160603,Medium,Low
198,0.49081290060026445,Medium,Low
199,0.4169127840395395,Medium,Low
200,0.2674289615154876,Low,Medium
201,0.44480946123521675,Medium,Low
202,0.35894765689229924,Medium,Low
203,0.4567000911577028,Medium,Low
204,0.46158984635938544,Medium,Low
205,0.35735232509426057,Medium,Medium
206,0.38306745907621725,Medium,Medium
207,0.4941050375133976,Medium,Medium
208,0.3656487683051425,Medium,Low
209,0.36640917416580393,Medium,Medium
210,-0.19663596315578694,Low,Low
211,0.5014773667415199,Medium,Medium
212,0.3883243674038653,Medium,Low
213,0.39253216190775025,Medium,Low
214,0.4864450127877238,Medium,Medium
215,0.4383565563217075,Medium,Low
216,0.3494924057606045,Medium,Low
217,0.5285630153121319,Medium,Medium
218,0.46222014925373134,Medium,Medium
219,0.35890151515151514,Medium,Medium
220,0.40066993043030147,Medium,Medium
221,0.3476471242629881,Medium,Low
222,0.4776228906823184,Medium,Low
223,0.5915865719459534,Medium,Medium
224,0.5357842572317622,Medium,Low
225,0.33806217929369153,Medium,Low
226,0.3460559796437659,Medium,Medium
227,0.518254844481669,Medium,Low
228,0.564945226917058,Medium,Medium
229,0.3139868398852708,Medium,Low
230,0.39855072463768115,Medium,Low
231,0.5213704206241518,Medium,Medium
232,0.3598092541539379,Medium,Low
233,0.5163434151634342,Medium,Medium
234,0.501996121820463,Medium,Low
235,0.4105288872602907,Medium,Low
236,-0.23273415326395458,Low,Low
237,0.5179666958808063,Medium,Medium
238,0.44662851455585967,Medium,Low
239,0.41840564479807835,Medium,Low
